Vehicle ID,Time (s),Vehicle Type,Vehicle Length (m),Vehicle Width (m),Longitudinal Position (m),Lateral Position (m),Longitudinal Speed (m/s),Lateral Speed (m/s),Wahoo Speed (m/s),Longitudinal Acceleration (m/s^2),Lateral Acceleration (m/s^2),Flag 1,Flag 2,Cadence (rpm),Bicycle Turn Angle (degree),Direction of the Vehicle (same side/opposite side),Vehicle 1 ID,Vehicle 1 Length,Vehicle 1 Width,Vehicle 1 Longitudinal Position,Vehicle 1 Latitudinal Position,Vehicle 1 Longitudinal Speed (m/s),Vehicle 1 Latitudinal Speed (m/s),Vehicle 1 Longitudinal Acceleration,Vehicle 1 Latitudinal Acceleration,Vehicle 2 ID,Vehicle 2 Length,Vehicle 2 Width,Vehicle 2 Longitudinal Position,Vehicle 2 Latitudinal Position,Vehicle 2 Longitudinal Speed (m/s),Vehicle 2 Latitudinal Speed (m/s),Vehicle 2 Longitudinal Acceleration,Vehicle 2 Latitudinal Acceleration,Vehicle 3 ID,Vehicle 3 Length,Vehicle 3 Width,Vehicle 3 Longitudinal Position,Vehicle 3 Latitudinal Position,Vehicle 3 Longitudinal Speed (m/s),Vehicle 3 Latitudinal Speed (m/s),Vehicle 3 Longitudinal Acceleration,Vehicle 3 Latitudinal Acceleration
1,29-01-2025 20:27:37:958,1,2.2,0.6,-373.5077,-6.058105,-1697.89792067707,-27.5390461364391,0,-7717.10049503904,-125.167469719069,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:38:34,1,2.2,0.6,-373.5077,-6.058105,0,2.16761503527173E-06,0,0,9.85200750765927E-06,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:38:250,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:38:475,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:38:698,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:38:918,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:39:113,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:39:329,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:39:549,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:39:775,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:27:39:988,1,2.2,0.6,-373.5077,-6.058105,0,0,0,0,0,NoLane,0,0,0,same lane,2,2.1,0.8,0,0,0,0,0,0,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
